round,loss,accuracy
0,2.303698177916554,0.1
1,2.233497924317186,0.1913
2,2.012538693964291,0.2431
3,1.815124637021805,0.2895
4,1.6727800392114316,0.3515
5,1.5352876715766737,0.4194
6,1.4931789769913062,0.4446
7,1.4054478597336304,0.4831
8,1.3047670552524895,0.5179
9,1.2457753873099915,0.5345
10,1.1989853642999935,0.5647
11,1.2057080861097706,0.5473
12,1.1161046687025613,0.594
13,1.0939417338599793,0.6107
14,1.064991710856319,0.6179
15,1.0458901002765082,0.6343
16,1.0125844684271768,0.6373
17,0.9752787193551231,0.6562
18,0.9504162945305578,0.6618
19,0.9368858299316308,0.6742
20,0.9124896238787106,0.6819
21,0.8872936714571505,0.6877
22,0.8964558650319949,0.6869
23,0.8679227936572541,0.6964
24,0.863678112292823,0.6968
25,0.8391054297407595,0.7104
26,0.8367868825650444,0.7018
27,0.807609346156684,0.7155
28,0.8095224075043164,0.7202
29,0.8157820702551272,0.7163
30,0.7905366745429298,0.7226
31,0.8062639761085327,0.7209
32,0.7952071726322174,0.7277
33,0.7703057546585131,0.7352
34,0.7642578193174002,0.7347
35,0.7649350965175384,0.7338
36,0.7658472656727598,0.7371
37,0.7729466577497915,0.7331
38,0.7707333517626832,0.7354
39,0.7591689110944827,0.7423
40,0.7552881770240613,0.7428
41,0.7441179114884843,0.7474
42,0.745780575104034,0.7489
43,0.7428695838481855,0.7487
44,0.7823119006408289,0.7393
45,0.7579893931127585,0.7484
46,0.7568699499003042,0.7516
47,0.764724177103073,0.7501
48,0.7763568239566236,0.7442
49,0.7887996574655508,0.7469
50,0.776325700715327,0.7506
51,0.8020246539729091,0.7468
52,0.7946058660745621,0.7453
53,0.774295440592324,0.7457
54,0.8044990258761489,0.7473
55,0.7865949637783222,0.7489
56,0.8273008862337746,0.7434
57,0.8412910469423849,0.7435
58,0.8543802956803538,0.7415
59,0.8108140178762686,0.7494
60,0.8164519354843864,0.7512
61,0.83176513111439,0.7483
62,0.8206416096169347,0.7535
63,0.8577293500351829,0.7453
64,0.8572871529827484,0.7501
65,0.8499780587685375,0.753
66,0.8438761600385458,0.7478
67,0.8462998118168249,0.7538
68,0.849438152802638,0.753
69,0.843738380522012,0.756
70,0.851148618772007,0.7539
71,0.9260479323684979,0.749
72,0.8696392936923634,0.7591
73,0.887569550032052,0.7487
74,0.882429197192573,0.757
75,0.8875314759465452,0.7529
76,0.8984205525713607,0.7537
77,0.9416864895211241,0.7484
78,0.9472419876640978,0.7499
79,0.919024888366556,0.7507
80,0.8791977118569821,0.7556
81,0.9102878880005675,0.7519
82,0.9267198877117504,0.7482
83,0.9487407267950594,0.7508
84,0.949102707088184,0.7491
85,0.9319174886225893,0.751
86,0.9531958876802518,0.7531
87,0.9530181122568849,0.7575
88,0.9510037841412206,0.7524
89,0.9531844721053736,0.7549
90,0.9951053396962322,0.751
91,1.0032497359731327,0.7525
92,0.990518971468313,0.7537
93,0.9838786970693082,0.7564
94,1.0262506339020623,0.7517
95,1.030183760169596,0.7501
96,1.056341487378739,0.7511
97,1.011179807515571,0.7545
98,1.0610808600156834,0.7503
99,1.0397147805736469,0.7495
100,1.073122064812115,0.752
