round,loss,accuracy
0,2.3040838477710563,0.1
1,2.2785085923374653,0.1737
2,2.004599843924038,0.2431
3,1.7452326906374849,0.3435
4,1.6023350695070748,0.4048
5,1.504740176871181,0.4305
6,1.4209366903518335,0.4571
7,1.3433640416437826,0.4853
8,1.2626598315497937,0.5307
9,1.216042610403067,0.542
10,1.1645956837331144,0.5709
11,1.1385236938540546,0.5821
12,1.0990943440233176,0.6018
13,1.0570909796050563,0.6192
14,1.0344193962435373,0.6388
15,0.9851441166271417,0.6562
16,0.956982049698266,0.6682
17,0.9346552945364016,0.6787
18,0.915921268086083,0.6857
19,0.8957246014485344,0.691
20,0.8729870015630325,0.7019
21,0.8646534204292602,0.7032
22,0.859828664567143,0.7041
23,0.8366306315595731,0.7117
24,0.8213476866198043,0.7179
25,0.8195952105636414,0.7189
26,0.8072018763318229,0.7231
27,0.8198245838046455,0.7199
28,0.797098661287905,0.7263
29,0.7819791995107938,0.7311
30,0.7819902190385154,0.7303
31,0.7580839666886071,0.7406
32,0.7830487095509855,0.7347
33,0.7660961092089693,0.7409
34,0.7610029825768151,0.7415
35,0.7699314211599362,0.7399
36,0.7737890577163941,0.7384
37,0.7622204481984098,0.7443
38,0.7594559239788939,0.7459
39,0.7617655188892596,0.747
40,0.7598373989898938,0.7456
41,0.7525931035939116,0.749
42,0.7709073645238298,0.7487
43,0.7702641394762947,0.7484
44,0.778696433423807,0.7469
45,0.769751589757185,0.747
46,0.7739683819083741,0.7489
47,0.7797666232997236,0.7503
48,0.7928813140803632,0.7496
49,0.7946941821624677,0.7511
50,0.7906169233897242,0.7517
51,0.8001237697304248,0.7513
52,0.8054664190203998,0.7488
53,0.812454281380763,0.752
54,0.8236907033588939,0.7458
55,0.8109623006167123,0.7541
56,0.838199120740921,0.7502
57,0.8375849565282797,0.7466
58,0.8162091504841947,0.753
59,0.830620349786533,0.7485
60,0.8404349452866533,0.749
61,0.8393355389467825,0.7505
62,0.8542745329511051,0.7523
63,0.8812435169856008,0.7547
64,0.8509107409193873,0.754
65,0.8832754921703674,0.7515
66,0.9024054512810021,0.7481
67,0.8750459185233131,0.7508
68,0.9067844188156219,0.7523
69,0.9034193031037577,0.7487
70,0.9075603556994813,0.7497
71,0.9041140064263877,0.7517
72,0.9439412368753086,0.7486
73,0.928823342719398,0.7458
74,0.954559906126973,0.7479
75,0.9563678476376275,0.7452
76,0.9644290170730493,0.7468
77,0.9607695056893193,0.752
78,0.9610912437541798,0.7459
79,0.9745178812989792,0.7482
80,0.9772718201715725,0.7487
81,0.9954510179761881,0.7525
82,0.9982145265839732,0.7493
83,1.004858762882769,0.7506
84,1.015481314243981,0.7503
85,1.0120530864015556,0.7442
86,1.007592422036698,0.7457
87,1.0329463335271842,0.7513
88,1.0192522498936698,0.7484
89,1.0200883852788054,0.7462
90,1.0357647581507985,0.7491
91,1.0260376354185536,0.7498
92,1.0513086763624184,0.7499
93,1.0452041762134137,0.7511
94,1.0367616234115138,0.7465
95,1.0649080320288198,0.7492
96,1.0477478054765694,0.7503
97,1.075500112943375,0.7499
98,1.0858028807674354,0.7503
99,1.070601805663718,0.7513
100,1.1119025585274347,0.7456
