round,loss,accuracy
0,2.3042089626811944,0.1
1,2.3057793275997662,0.1168
2,2.1330637021567496,0.2222
3,1.961447377936147,0.2881
4,1.7899069850818037,0.3258
5,1.6632384575974828,0.3681
6,1.56625902119536,0.4033
7,1.4763718816799858,0.4497
8,1.4153427849181544,0.4753
9,1.347605466461791,0.5064
10,1.3023099215647664,0.5326
11,1.2378546886931594,0.5432
12,1.2057477751859842,0.5668
13,1.174504881659255,0.5731
14,1.1368900701260796,0.5908
15,1.0897630512143095,0.612
16,1.0654728848713275,0.6164
17,1.022302107879529,0.6403
18,0.9938019959690472,0.6445
19,0.9681784552507127,0.6551
20,0.9448604936036058,0.6614
21,0.9403413915024779,0.6696
22,0.9237751830309725,0.673
23,0.9101665726484963,0.6794
24,0.8681339970983255,0.6939
25,0.8652437648262841,0.6917
26,0.8737043166122498,0.6892
27,0.8526835683435677,0.6989
28,0.8339757886938394,0.7058
29,0.8106487977047698,0.7139
30,0.8141286460736308,0.7109
31,0.8080296942029899,0.717
32,0.8015068352412873,0.7202
33,0.7956697220048203,0.7201
34,0.7897146341328423,0.7238
35,0.7867287343112044,0.727
36,0.793512698560477,0.723
37,0.7825912996031605,0.7295
38,0.7796067607383759,0.7337
39,0.7889630805950957,0.7306
40,0.7953885559456798,0.7287
41,0.7620098834601454,0.7401
42,0.765024339095853,0.7365
43,0.7740652700677847,0.7343
44,0.7832364414732296,0.7367
45,0.7747392340685232,0.739
46,0.7498397589110719,0.7451
47,0.7705065725139155,0.7404
48,0.774592036161179,0.7438
49,0.777064531375044,0.7459
50,0.7638835935546948,0.7465
51,0.7581630247755172,0.7525
52,0.7831229919347519,0.7445
53,0.7858930912356787,0.7468
54,0.7852437668048535,0.744
55,0.7764932800786564,0.7484
56,0.791216212910966,0.7476
57,0.7764632135820084,0.7512
58,0.8022183151766896,0.7476
59,0.7920476109646379,0.7459
60,0.7883589599079217,0.7541
61,0.7980993103961975,0.7507
62,0.7843547028760178,0.7524
63,0.8122660660039122,0.7457
64,0.8388535592217035,0.7454
65,0.8316688673755231,0.7461
66,0.8235716658849686,0.7514
67,0.8377745171991019,0.7506
68,0.8274282913048047,0.7489
69,0.8512230718288177,0.7531
70,0.8642288226955614,0.7497
71,0.8407386414730511,0.7538
72,0.8499382066840943,0.754
73,0.8492682177704364,0.7573
74,0.877453864668124,0.7519
75,0.8808731346751173,0.7489
76,0.8717712996581111,0.7494
77,0.8625217478115338,0.7552
78,0.9042867827720155,0.7512
79,0.9000009108846561,0.7447
80,0.901963389100739,0.7498
81,0.930902512024005,0.7438
82,0.9221048083739539,0.7509
83,0.9493030619126158,0.7472
84,0.8965864324817261,0.7512
85,0.9036565839577788,0.7551
86,0.9280703203937116,0.7525
87,0.925151384390962,0.7487
88,1.0105444390457659,0.7432
89,0.9160194934937901,0.7521
90,0.9591142065323199,0.7473
91,0.9843590313824602,0.7464
92,0.9780617742397534,0.7498
93,1.0058292064803858,0.7459
94,0.9812946411462637,0.7524
95,1.0199218525673255,0.7505
96,0.993507551499449,0.7517
97,0.9735684157750858,0.7519
98,1.0186177364077431,0.7553
99,0.9909692140052113,0.7509
100,1.016239049764106,0.7554
101,1.0380190080537584,0.7544
102,1.061124220347633,0.7512
103,1.037899492980954,0.7535
104,1.024741596164414,0.7518
105,1.0504789723755834,0.7504
106,1.0470392856830226,0.7529
107,1.0814198754942075,0.7509
108,1.0840733005596808,0.7508
109,1.0962106638823073,0.7487
110,1.121106965854145,0.7478
111,1.0955108551742931,0.7533
112,1.081697364108631,0.7527
113,1.0980343368297187,0.7461
114,1.1164111181284293,0.7495
115,1.1194524322264492,0.7438
116,1.0955978082106137,0.7509
117,1.1416580083842476,0.7527
118,1.1534864788238233,0.7456
119,1.1587471999108983,0.751
120,1.1303780693977405,0.7496
121,1.1177297667763866,0.7476
122,1.1626686649010205,0.75
123,1.144388684497093,0.7456
124,1.1317136190093744,0.7515
125,1.2197643407522298,0.7438
126,1.1670988715780428,0.7488
127,1.1327630331436285,0.7508
128,1.2429975053182425,0.7514
129,1.2209450202628065,0.751
130,1.1948230449860089,0.7518
131,1.1251916814916811,0.747
132,1.2109643552249993,0.7471
133,1.1974621948342734,0.7496
134,1.1790607239301212,0.7535
135,1.2166491981131582,0.7458
136,1.2013968498276446,0.7495
137,1.183154064055068,0.7507
138,1.2360120075769698,0.7507
139,1.2319452551226266,0.749
140,1.2487639242563005,0.752
141,1.2031258424630942,0.7513
142,1.2068059435382057,0.7513
143,1.2641068400856785,0.7503
144,1.228571627467585,0.7534
145,1.292696209285206,0.7481
146,1.2743829680136598,0.7465
147,1.2796829749410525,0.7487
148,1.2480360459024533,0.7512
149,1.291526590006801,0.7465
150,1.3284947270878589,0.7474
151,1.2788982915516478,0.7499
152,1.2823833030062362,0.748
153,1.3183304637004012,0.7515
154,1.3347944238315375,0.7531
155,1.3400843548127257,0.7527
156,1.2948305684918413,0.7517
157,1.300093146939628,0.7535
158,1.323929808486384,0.7511
159,1.345848646502906,0.7509
160,1.3582753635252627,0.7564
161,1.3074130561595527,0.7505
162,1.3386373417065167,0.7542
163,1.410551368047635,0.7472
164,1.3347205181662647,0.7523
165,1.3975155705841966,0.7531
166,1.3565524399470978,0.7527
167,1.3331446658117703,0.7515
168,1.3674837589835207,0.7551
169,1.29307555333494,0.754
170,1.3800428138373377,0.7519
171,1.4654117836929357,0.747
172,1.3483690939391384,0.754
173,1.3951679658585083,0.7513
174,1.4595010992817985,0.7525
175,1.4263490555099785,0.7492
176,1.4754683505327175,0.7496
177,1.3923156182891645,0.7539
178,1.4625008108612068,0.7474
179,1.4378448517177813,0.7497
180,1.477834804941671,0.7508
181,1.3546507140508475,0.7513
182,1.4026305453655439,0.7494
183,1.4157833526500117,0.7512
184,1.440128791351288,0.7524
185,1.4567367355473124,0.7527
186,1.4647894781618453,0.7569
187,1.388810160251471,0.7529
188,1.473493700305494,0.7497
189,1.466975549349008,0.749
190,1.4735843215506679,0.7511
191,1.5291976970605576,0.7476
192,1.524877147171825,0.7522
193,1.479126771894126,0.7582
194,1.6131403519989203,0.7446
195,1.5318207485607256,0.7513
196,1.5339633085476323,0.754
197,1.521480979915625,0.7517
198,1.5291343137098197,0.7479
199,1.4947664484429284,0.7511
200,1.525030937629005,0.7534
