round,loss,accuracy
0,2.3031353478233654,0.1017
1,2.2711225614761013,0.2141
2,2.0045159076349424,0.2692
3,1.829219056013674,0.3459
4,1.6856994537499765,0.3822
5,1.5828266277099952,0.4081
6,1.4930562196067347,0.4538
7,1.4146841410249948,0.4837
8,1.364268289396938,0.5028
9,1.3285683481076274,0.521
10,1.274537959799599,0.5425
11,1.238507248723088,0.5538
12,1.1990609397522558,0.5744
13,1.1540212526488989,0.5906
14,1.1247478784463656,0.6023
15,1.0785623914517535,0.626
16,1.0553526347056745,0.6336
17,1.0181733147023966,0.6443
18,0.9956649100056852,0.6491
19,0.9599518134190251,0.6653
20,0.9344034834791677,0.673
21,0.919231283207671,0.6793
22,0.9022006586717721,0.6849
23,0.8738764603488361,0.6948
24,0.8614457010651548,0.7012
25,0.8401391277678858,0.7112
26,0.8243631554868656,0.7131
27,0.8079715074060824,0.7224
28,0.8014480833428356,0.7252
29,0.7849866499344762,0.732
30,0.7764664791262569,0.7324
31,0.7654034900017821,0.7407
32,0.7544027123207482,0.7418
33,0.7482251185959521,0.7464
34,0.7393571069827095,0.7475
35,0.733301041225275,0.7484
36,0.7222306916888911,0.7513
37,0.716868357631726,0.7573
38,0.7103967534277005,0.7585
39,0.7040600230137761,0.7594
40,0.701846079037974,0.7625
41,0.6979423331947753,0.7645
42,0.6993033702190692,0.7621
43,0.688501023255979,0.7683
44,0.6865535957363847,0.7685
45,0.6913512208210394,0.7677
46,0.6892732408480903,0.7693
47,0.6829781782703278,0.7705
48,0.6798413030255717,0.7703
49,0.6857078909493102,0.7718
50,0.675916575204831,0.7763
51,0.6799813920316605,0.7769
52,0.6768951250341373,0.7759
53,0.6782539152680114,0.7734
54,0.6828448538201305,0.7757
55,0.6813228073211524,0.7753
56,0.6850606364944872,0.7782
57,0.6868382536184293,0.7792
58,0.6876047349775942,0.7821
59,0.6788708132010298,0.7797
60,0.683319735498474,0.783
61,0.6847946831879144,0.7781
62,0.6861037125888343,0.7786
63,0.6883732588432087,0.7803
64,0.7026691914271241,0.7784
65,0.7031856182569893,0.7824
66,0.7018643869473912,0.7815
67,0.7069757663118191,0.7809
68,0.7094397051646687,0.782
69,0.7137182114032892,0.7803
70,0.7106040584298369,0.7783
71,0.7232637112133038,0.7799
72,0.7252894768033165,0.7789
73,0.7390643425833303,0.7784
74,0.7324717745137291,0.7818
75,0.7376444339752197,0.78
76,0.7414015166866131,0.7802
77,0.7539821481838013,0.7752
78,0.7482475274191878,0.779
79,0.7659361648578613,0.7799
80,0.771327897953911,0.7778
81,0.773589161923899,0.7808
82,0.7774195128355544,0.7769
83,0.794459615604946,0.7777
84,0.7927647834768692,0.7785
85,0.8044091892509034,0.778
86,0.7967512951300929,0.7774
87,0.8005951738681275,0.7738
88,0.8064657175026763,0.7787
89,0.8085511043048895,0.7814
90,0.8148625423066532,0.7794
91,0.8175757605903826,0.7825
92,0.8372063592504769,0.7765
93,0.8296706242778431,0.7792
94,0.8410301589356444,0.7789
95,0.850856323592579,0.7837
96,0.8517099025721748,0.7821
97,0.8721078156282346,0.7791
98,0.8632674461450821,0.7781
99,0.8578888867705013,0.7834
100,0.8679348938286114,0.7778
101,0.885266830984015,0.7786
102,0.8797090867171272,0.7761
103,0.9043773656931168,0.7766
104,0.9054783843100642,0.7785
105,0.9178964385209373,0.7774
106,0.9169716072349122,0.778
107,0.9190755327955221,0.7763
108,0.9288230143225612,0.7782
109,0.928988521329511,0.7778
110,0.9326207350237301,0.7792
111,0.9575052215649297,0.7773
112,0.965267320220082,0.7772
113,0.9730716228675538,0.78
114,0.9685370059916005,0.7807
115,0.9799857111498952,0.779
116,0.9684284965451152,0.7821
117,0.9958664912956591,0.7791
118,0.991598006873466,0.7772
119,1.0002638310098801,0.7751
120,1.008796409867442,0.7796
121,1.0490831553745574,0.7787
122,0.9929159348860336,0.7775
123,1.0360252321623384,0.7799
124,1.0221410779812086,0.7756
125,1.0197168009254498,0.779
126,1.0445285869863468,0.7777
127,1.0031894845798754,0.7768
128,1.0709677565688143,0.7727
129,1.061242691482218,0.7796
130,1.0672690572258763,0.779
131,1.0622577986206871,0.7787
132,1.057580780868713,0.7768
133,1.0813261399063439,0.7761
134,1.078831057340954,0.7802
135,1.095278808817315,0.7792
136,1.0907852146953059,0.7779
137,1.0815201380287116,0.7766
138,1.1068855939676967,0.7784
139,1.1335572628453137,0.7798
140,1.1104621874352993,0.7741
141,1.083545965936999,0.7769
142,1.1273574156883044,0.7758
143,1.1074252039098893,0.7803
144,1.1569085579139355,0.7749
145,1.1277673859565784,0.7762
146,1.15558494370395,0.7751
147,1.1291254374165884,0.7759
148,1.1487925360187554,0.7775
149,1.1333639148515635,0.7781
150,1.1394904193501123,0.7739
151,1.1555793710505238,0.7767
152,1.1352365208795656,0.778
153,1.1652038638679365,0.7786
154,1.1622180997754057,0.7797
155,1.1526234858809188,0.774
156,1.1760377494481424,0.7764
157,1.1830727561784629,0.7787
158,1.2150026619339143,0.7772
159,1.230831017937904,0.7758
160,1.2387496610990347,0.7739
161,1.1986929171096783,0.7772
162,1.2371819181421313,0.7808
163,1.2107969424404657,0.776
164,1.2043000633914631,0.7744
165,1.190611472287879,0.7774
166,1.2317325321915813,0.7779
167,1.22123244109626,0.7741
168,1.240515451080883,0.7779
169,1.2356902228091091,0.7771
170,1.2893259234893055,0.777
171,1.2691724803120183,0.7766
172,1.2476134444482792,0.7779
173,1.2390513693848357,0.7768
174,1.2359943117101353,0.7734
175,1.258679794950988,0.7754
176,1.2728784644184783,0.774
177,1.2649103302639513,0.775
178,1.2900308063045478,0.7761
179,1.2785532588775927,0.7773
180,1.271635896053177,0.7771
181,1.2744320953806367,0.7749
182,1.251845310338008,0.7781
183,1.2811950914109478,0.7786
184,1.2820513025164224,0.7782
185,1.3364322589228328,0.7785
186,1.3068153921502847,0.7782
187,1.3102939193145917,0.7739
188,1.2974521884807764,0.7748
189,1.3166544941572336,0.7764
190,1.3137581194170749,0.7732
191,1.3316084045571641,0.7786
192,1.3129261229841853,0.774
193,1.3472147387818407,0.7744
194,1.3260301241573815,0.775
195,1.371090321637952,0.7777
196,1.345055671545644,0.7766
197,1.3592739712220792,0.7779
198,1.36229963862477,0.7713
199,1.3698392493275409,0.7787
200,1.3633156345484736,0.7765
