Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,50,0,500,0.7653,0.7722,1.2255
robust,50,0,500,0.7675,0.7751,1.2249
krum,50,0,500,0.5057,0.5409,4.2616
fedmedian,50,0,500,0.7563,0.7712,0.8840
bulyan,50,0,500,0.7758,0.7787,1.2192
vae,50,0,500,0.7735,0.7749,1.2027
fedavg,50,10,500,0.1000,0.1000,2.3026
robust,50,10,500,0.1000,0.1000,2.3026
krum,50,10,500,0.5126,0.5335,5.0163
fedmedian,50,10,500,0.7721,0.7730,0.6850
bulyan,50,10,500,0.7409,0.7643,0.9869
vae,50,10,500,0.1000,0.1000,2.3026
fedavg,50,30,500,0.1000,0.1000,2.3026
robust,50,30,500,0.1000,0.1001,2.3026
krum,50,30,500,0.5104,0.5453,4.3119
fedmedian,50,30,500,0.5494,0.5535,1.3631
bulyan,50,30,500,0.1000,0.1000,2.3026
vae,50,30,500,0.1000,0.1000,2.3026
fedavg,50,50,500,0.1000,0.1000,2.3026
robust,50,50,500,0.1000,0.1000,2.3026
krum,50,50,500,0.5042,0.5229,4.7189
fedmedian,50,50,500,0.1000,0.1027,2.3026
bulyan,50,50,500,0.1000,0.1000,2.3026
vae,50,50,500,0.1000,0.1000,2.3026
