Strategy,Clients,Malicious %,Rounds,Final Acc,Best Acc,Final Loss
fedavg,50,0,500,0.7653,0.7722,1.2255
robust,50,0,500,0.7675,0.7751,1.2249
krum,50,0,500,0.7710,0.7769,1.2130
fedmedian,50,0,500,0.7563,0.7712,0.8840
bulyan,50,0,500,0.7758,0.7787,1.2192
vae,50,0,500,0.7735,0.7749,1.2027
fedavg,50,10,500,0.1000,0.1000,2.3026
robust,50,10,500,0.1000,0.1000,2.3026
krum,50,10,500,0.7623,0.7724,1.2829
fedmedian,50,10,500,0.7721,0.7730,0.6850
bulyan,50,10,500,0.7409,0.7643,0.9869
vae,50,10,500,0.1000,0.1000,2.3026
