round,loss,accuracy
0,0.8169556710476311,0.7199
1,2.278139233208312,0.103
2,2.263995894227927,0.1416
3,2.284120922271436,0.1475
4,2.28808627494227,0.1665
5,2.2936641095926205,0.1002
6,2.2935226405390536,0.1002
7,2.2933867366169207,0.173
8,2.293291683775929,0.1548
9,2.2954574377772907,0.1111
10,2.292787201488361,0.1604
11,2.293184067113712,0.179
12,2.2929052438217994,0.1412
13,2.2943663597106934,0.1383
14,2.2945199325061836,0.1645
15,2.2947735466515295,0.1102
16,2.292818482310627,0.1357
17,2.2931072513897197,0.1533
18,2.2948208655031346,0.1036
19,2.2938109548708883,0.1365
20,2.2955607042525905,0.1114
21,2.2956919609167326,0.1453
22,2.2953197879913136,0.1132
23,2.2955164117173266,0.1022
24,2.2981280061764457,0.1004
25,2.293917174537342,0.1256
26,2.296510734497168,0.1094
27,2.296358423111157,0.1002
28,2.2959259036250006,0.1
29,2.2946408160578327,0.1246
30,2.2969490940959307,0.112
31,2.2978099748349416,0.1
32,2.2975988540405665,0.1004
33,2.2961406464013048,0.1004
34,2.2951719677105498,0.101
35,2.2953532138190713,0.1022
36,2.2955412925622714,0.1026
37,2.2970959195694602,0.1003
38,2.295776398418049,0.1115
39,2.2945968975274327,0.1103
40,2.295225218081246,0.1099
41,2.296651243782653,0.1005
42,2.294773359268237,0.1
43,2.2948390652958195,0.1059
44,2.294679809302187,0.1527
45,2.295313040669353,0.1006
46,2.2968058045298907,0.1077
47,2.295774298354079,0.1238
48,2.2966953763565696,0.1
49,2.2941004529166906,0.1145
50,2.29460863564342,0.1066
51,2.295509377226662,0.1001
52,2.295854734536558,0.1034
53,2.2976777286956103,0.0994
54,2.2964231160502084,0.1237
55,2.295073952537756,0.1023
56,2.295918583489074,0.107
57,2.2950046412861003,0.1006
58,2.294162144676184,0.1518
59,2.2956113868628067,0.1037
60,2.2937649256124284,0.1126
61,2.2948460967396014,0.1004
62,2.2964472039439046,0.1081
63,2.2962445824291,0.1152
64,2.2948578523751646,0.1004
65,2.294769299296906,0.1009
66,2.2934103164429103,0.1381
67,2.2956880258675962,0.1035
68,2.2943913106339426,0.1012
69,2.2942694795017426,0.1154
70,2.296214595770303,0.1011
71,2.296706456345872,0.1001
72,2.2955343890875675,0.1
73,2.2975960920413083,0.1
74,2.2963441895981567,0.1024
75,2.2967181601844278,0.1
76,2.295435272466641,0.1
77,2.295410618614465,0.1088
78,2.296913666466174,0.1002
79,2.297700709047409,0.1103
80,2.2954224237618734,0.1204
81,2.2954366268060458,0.1025
82,2.2952347037891228,0.1003
83,2.2946952577597037,0.1
84,2.2956982550148766,0.1017
85,2.29467393643559,0.1315
86,2.29667448388121,0.1001
87,2.2947551815654523,0.1157
88,2.29559881161577,0.101
89,2.2951456563541304,0.1049
90,2.296165783184405,0.1008
91,2.295318019275848,0.1003
92,2.2964719751010687,0.1039
93,2.2966364610690277,0.1
94,2.2971316244655524,0.1003
95,2.295121484671157,0.1186
96,2.2952887532048334,0.1205
97,2.2955294493288276,0.1051
98,2.295744186773087,0.1633
99,2.296394668828946,0.104
100,2.2968502448389705,0.1
