round,loss,accuracy
0,1.227674205082293,0.5603
1,1.8169242436893451,0.5367
2,1.8253093264735163,0.5259
3,1.8478066110001585,0.5345
4,1.8734457104350812,0.5039
5,1.854866412881845,0.5103
6,1.862178779257753,0.5353
7,1.8512327777691924,0.537
8,1.8744326719460778,0.5256
9,1.8566327114074757,0.5423
10,1.8608559773752864,0.5328
11,1.8371492129164382,0.5407
12,1.8627292690947415,0.5455
13,1.8642830178379632,0.5581
14,1.8657840056160389,0.5404
15,1.8668609674746237,0.5436
16,1.860160254441892,0.5366
17,1.8884682244005295,0.5177
18,1.879049656109307,0.5099
19,1.8775788694144058,0.5207
20,1.8782945265785194,0.5219
21,1.8683698188763458,0.5398
22,1.8666268434768287,0.5325
23,1.8403715432261507,0.5326
24,1.880562446368769,0.4976
25,1.8815112292957001,0.5301
26,1.8798990302954237,0.5081
27,1.8636867363993732,0.5439
28,1.8770467016262748,0.49
29,1.8614784875236,0.5192
30,1.8642875180838587,0.5273
31,1.855399762479642,0.5404
32,1.8715250488287343,0.5172
33,1.863082600096925,0.5329
34,1.8642401988513935,0.5329
35,1.856435441742309,0.5383
36,1.8736952695602807,0.5152
37,1.8585290425120833,0.5391
38,1.8672122086960667,0.5552
39,1.8608441867005712,0.52
40,1.872235930004059,0.5083
41,1.8688999783878508,0.521
42,1.8512296421459307,0.5349
43,1.851908515817441,0.511
44,1.8545921054511025,0.5551
45,1.8652173002687886,0.4876
46,1.8595150168330525,0.5262
47,1.8650990579836666,0.5354
48,1.875714911058688,0.5338
49,1.8579478846571316,0.5271
50,1.8509314646736121,0.5616
51,1.8664053309078035,0.5355
52,1.8839750487964375,0.5035
53,1.8927304002042777,0.5014
54,1.8564924058822778,0.5356
55,1.8575451534015301,0.5443
56,1.8504023829968974,0.5335
57,1.8667834570613533,0.5306
58,1.8459205996875945,0.547
59,1.8780294180678103,0.5212
60,1.8763040829771243,0.5214
61,1.8523950020726117,0.5407
62,1.8452773113220264,0.5363
63,1.882551512398278,0.5038
64,1.874006162817105,0.5213
65,1.8551032154704816,0.5077
66,1.881651614420711,0.4954
67,1.8752496676703991,0.5378
68,1.8412381037355612,0.5327
69,1.850198619662763,0.5597
70,1.8385016084098207,0.5551
71,1.8673819901463322,0.507
72,1.8699096205135504,0.5374
73,1.862750550809379,0.5338
74,1.8719296211632677,0.5328
75,1.8623130504315653,0.5409
76,1.8915884669977254,0.5113
77,1.8792022996055433,0.4998
78,1.8587945398812096,0.5484
79,1.8846614673114812,0.5171
80,1.8436238381047598,0.5489
81,1.8779790664252383,0.5117
82,1.8595341653488695,0.5341
83,1.8839694954716741,0.4977
84,1.8762455736867154,0.5121
85,1.8411015428293247,0.5484
86,1.8626707803707916,0.5161
87,1.8606188087798536,0.5217
88,1.8626074897595488,0.5396
89,1.8562376110698469,0.529
90,1.8424789520879141,0.5447
91,1.8680346019732685,0.5284
92,1.8605023839603216,0.5301
93,1.8629320943698335,0.5386
94,1.886349575968977,0.5008
95,1.8610788465688786,0.5373
96,1.8653499744951534,0.5311
97,1.8696767815385764,0.5338
98,1.8478640276022231,0.5411
99,1.8592501109400497,0.5165
100,1.8623052930679564,0.5322
