round,loss,accuracy
0,1.9623688318478032,0.2071
1,2.0032041906929625,0.207
2,1.994000816497559,0.1999
3,1.9789115780839523,0.2005
4,1.9656334612697077,0.2053
5,1.9789491697622184,0.1816
6,1.9459868978006771,0.1972
7,1.920964536956324,0.2227
8,1.9472900579531733,0.2007
9,1.8890197174236798,0.2499
10,1.8983402294091904,0.2345
11,1.8730321242786443,0.2579
12,1.8483255766451168,0.2928
13,1.8961033508800471,0.2567
14,1.8685661919962484,0.2759
15,1.8600874221363006,0.278
16,1.8413131709296864,0.2932
17,1.812203152872884,0.3106
18,1.8778019659816267,0.2942
19,1.816132992220382,0.3276
20,1.7372586875677871,0.3579
21,1.7286393052091995,0.3775
22,1.7093154401444017,0.3578
23,1.6839732285886526,0.4018
24,1.6996377588461002,0.3769
25,1.7187418282603304,0.3929
26,1.6929648410017117,0.4077
27,1.6391471769101322,0.4267
28,1.5933735812433993,0.4461
29,1.5784181752524817,0.4455
30,1.568394066807561,0.4567
31,1.5448257896465996,0.4656
32,1.4764654289800139,0.5003
33,1.4783986791635093,0.486
34,1.487159649404093,0.5069
35,1.421245435937144,0.5274
36,1.4141164210657724,0.5152
37,1.4047779191416292,0.5304
38,1.4279409681265347,0.5335
39,1.3638918434088223,0.5485
40,1.3733264550614281,0.5487
41,1.3906594907132963,0.5476
42,1.3265577724185615,0.5636
43,1.3252692399695278,0.5628
44,1.3469966722372622,0.5441
45,1.3071023480960737,0.568
46,1.2906036540723076,0.5763
47,1.264037405720915,0.587
48,1.2571375116753503,0.5864
49,1.2374020658742886,0.5938
50,1.2306512043879816,0.6027
51,1.225434224636029,0.6118
52,1.2260667799760738,0.605
53,1.184716679227238,0.627
54,1.1789047358135065,0.6296
55,1.1624534251971748,0.6369
56,1.157568549767089,0.6369
57,1.1261791392637137,0.6509
58,1.1613822545106418,0.6276
59,1.1308936651903219,0.6513
60,1.0737888354082077,0.662
61,1.081514742808601,0.6589
62,1.0963780664788267,0.6627
63,1.041112792758515,0.6729
64,1.0694992306133428,0.663
65,1.0801352951854182,0.6609
66,1.0252187823335204,0.6784
67,1.0437242908599658,0.674
68,1.0408139156457334,0.6749
69,1.0030318192018868,0.6831
70,1.0162963945263872,0.6858
71,0.9829904478959763,0.6935
72,1.0432245879889297,0.6705
73,1.0226733501726828,0.6765
74,1.018852630171913,0.6756
75,0.9897443882573527,0.6826
76,0.9807995885324935,0.6811
77,0.9888228701707273,0.6922
78,0.9733935628836148,0.6953
79,0.968730014733994,0.6952
80,0.9514602847373523,0.7013
81,0.9901398827854436,0.689
82,0.9315136855783553,0.7033
83,0.9545705558392948,0.6984
84,0.9522453830265009,0.7013
85,0.9427474584823219,0.6982
86,0.9508016429389247,0.7051
87,0.9271160175625127,0.7076
88,0.9503415112678235,0.7027
89,0.9193815644175861,0.7049
90,0.9308506237051357,0.7062
91,0.8849951522038005,0.7229
92,0.9200451524493793,0.7121
93,0.8999895013559359,0.7131
94,0.9263590435250498,0.6996
95,0.947709564583751,0.6944
96,0.9057591612727497,0.7076
97,0.9173318157180811,0.7068
98,0.9007306571204823,0.7114
99,0.8725396672757669,0.7262
100,0.9062301442265129,0.7123
