round,loss,accuracy
0,1.1090885890177644,0.6027
1,1.7424520699741741,0.4986
2,1.781379813584276,0.5101
3,1.8134297044894185,0.5049
4,1.8205448830851352,0.5435
5,1.8703692774422251,0.4947
6,1.89889634645785,0.4899
7,1.8735426748141695,0.506
8,1.86942907567984,0.5587
9,1.88152169724242,0.5192
10,1.8864449913890218,0.5323
11,1.854358987305492,0.5181
12,1.9059623727402366,0.5474
13,1.8972380405036025,0.4991
14,1.8577009637515767,0.5495
15,1.8648509937353408,0.5448
16,1.8493742333433498,0.547
17,1.8729866164180036,0.5309
18,1.861561497179464,0.529
19,1.8708530485439605,0.5392
20,1.8696611293207723,0.553
21,1.8575605702476379,0.5423
22,1.8792919274717093,0.4916
23,1.9141121634279197,0.5344
24,1.8680219056126408,0.5282
25,1.8556644383329934,0.5537
26,1.8920159625550048,0.5305
27,1.886976950846541,0.5157
28,1.8832167981150814,0.5309
29,1.9132242416040586,0.4793
30,1.9033602727487826,0.5154
31,1.8807628550849402,0.4916
32,1.8995605113026433,0.4891
33,1.8881470719084572,0.5182
34,1.8584628725965944,0.557
35,1.9092737813346303,0.4813
36,1.8498700034504119,0.5054
37,1.8555037327848685,0.538
38,1.8667240207568525,0.5212
39,1.8893275634168436,0.5344
40,1.8782148593530867,0.54
41,1.8764005213880692,0.554
42,1.8820551561471373,0.5035
43,1.8723458112619173,0.5398
44,1.8766587599397848,0.5276
45,1.8309482027547428,0.5479
46,1.8820915759181063,0.5322
47,1.8787645562388264,0.509
48,1.8546362924880493,0.5353
49,1.8511227708274183,0.5434
50,1.8758983577783115,0.5534
51,1.8720607871826465,0.5368
52,1.8650538152018294,0.5154
53,1.8794166759941906,0.5107
54,1.848726585269355,0.5484
55,1.8682641282249182,0.5296
56,1.8718558888846693,0.5304
57,1.866877589743739,0.5251
58,1.8872354822798658,0.5314
59,1.8730935380100824,0.5307
60,1.8547805932383188,0.5353
61,1.8835229671801241,0.4797
62,1.8496264082174332,0.5451
63,1.8603158431312146,0.5447
64,1.8296599456677423,0.5222
65,1.8710775337280177,0.5343
66,1.8559066045779389,0.5431
67,1.8602509590002676,0.5438
68,1.8760926693011397,0.4852
69,1.8815074404969383,0.5337
70,1.8634258763858687,0.5215
71,1.8746126871139477,0.5185
72,1.851719248028228,0.5462
73,1.88429564675584,0.511
74,1.8660304165495851,0.5236
75,1.8547409350117936,0.5358
76,1.8936436260089327,0.4956
77,1.880359485126532,0.5015
78,1.8658059576448922,0.5322
79,1.862964930244909,0.5136
80,1.874903245855825,0.5275
81,1.8888053105662044,0.5158
82,1.8415913985560115,0.5195
83,1.8717416056428855,0.5516
84,1.8688163776367237,0.5179
85,1.8728409575197262,0.5193
86,1.8405162355008597,0.5364
87,1.8943630734952495,0.484
88,1.8690264118365205,0.5271
89,1.8774406190116566,0.5415
90,1.8674898235180888,0.5075
91,1.8587044473654164,0.5122
92,1.8507011108124218,0.5416
93,1.8915324751942302,0.4979
94,1.868878320764048,0.5259
95,1.8867540363305675,0.5132
96,1.8637438803054274,0.5325
97,1.872821540116502,0.5358
98,1.8666996620714473,0.5095
99,1.8913123154411682,0.4788
100,1.8737761296403295,0.5404
