round,loss,accuracy
0,0.8812228005153303,0.7002
1,0.7873945168603342,0.7356
2,0.7659403159024235,0.7474
3,0.7533470469351393,0.746
4,0.7474085627653347,0.7507
5,0.7402322565595182,0.7538
6,0.729718020739266,0.7542
7,0.7335657322178253,0.7562
8,0.7272791817736702,0.7586
9,0.7228817870251287,0.7582
10,0.7337226503954147,0.7569
11,0.7160317292228674,0.7579
12,0.7122453404501223,0.7597
13,0.7063216023837415,0.7633
14,0.746466817471166,0.7496
15,0.722332696278636,0.7552
16,0.710915447233584,0.7593
17,0.7116737024852643,0.7607
18,0.7209980493536392,0.7559
19,0.7248707691701456,0.7535
20,0.7104468930262727,0.7598
21,0.6873135839026576,0.7678
22,0.6817585841154519,0.7701
23,0.70300667297345,0.7612
24,0.69777246490835,0.7687
25,0.6973768221303678,0.7639
26,0.7070692751925594,0.7642
27,0.6872025928177392,0.7686
28,0.6980871038315014,0.767
29,0.7000806914826933,0.7661
30,0.6887713491726226,0.7658
31,0.6786656936707969,0.7705
32,0.6860550356368287,0.7687
33,0.6898373316366452,0.7679
34,0.6896841468902442,0.7685
35,0.7046488859592536,0.7632
36,0.6860330338104845,0.7679
37,0.6912869155978243,0.7667
38,0.6894887409652003,0.7697
39,0.6816434837377872,0.7725
40,0.6727120219328152,0.7734
41,0.6833171367454833,0.7696
42,0.680716222562729,0.7699
43,0.6907431436137269,0.7669
44,0.6967275728718542,0.7678
45,0.6952813472896339,0.7655
46,0.6860944207388753,0.7716
47,0.6868378220084376,0.7715
48,0.6764397240294435,0.77
49,0.6808791726161116,0.7729
50,0.6765025938852146,0.7741
51,0.6973313190304814,0.7694
52,0.6908794639590449,0.7692
53,0.6742682567895791,0.7732
54,0.6873951578578248,0.7713
55,0.6847159483086187,0.773
56,0.7062212581070848,0.7654
57,0.6826064358123194,0.7687
58,0.7068048460414996,0.7678
59,0.6901957754509899,0.7682
60,0.6923597781136394,0.7697
61,0.6866739730770215,0.7694
62,0.6794159263848497,0.7714
63,0.6825485440869682,0.7754
64,0.6860016846713929,0.7725
65,0.6972344800020559,0.7682
66,0.7004292344513793,0.766
67,0.6979609609316713,0.7687
68,0.6862605405977359,0.7739
69,0.6928494027057014,0.7733
70,0.6807837075890063,0.7721
71,0.6800195913250073,0.7723
72,0.6851723199359144,0.7698
73,0.6958921895906948,0.7705
74,0.6792506310410393,0.7761
75,0.7029957590868678,0.7656
76,0.6884328789604358,0.7721
77,0.7006969878943964,0.7686
78,0.6850526968415934,0.7732
79,0.7033776036752298,0.7702
80,0.695634387838193,0.7704
81,0.6879736208877625,0.7724
82,0.704136275397703,0.7688
83,0.6934307067158123,0.7732
84,0.6944729297305829,0.7681
85,0.705003937736106,0.7674
86,0.6813093908488179,0.7745
87,0.6907416142689915,0.7714
88,0.6899482342191398,0.7731
89,0.6860699407494487,0.7729
90,0.6872137102741784,0.7759
91,0.6966076607997425,0.7687
92,0.6795358145579743,0.7739
93,0.6848600731014063,0.7741
94,0.71873016541187,0.7656
95,0.7042360988002234,0.7709
96,0.7020536903946545,0.7721
97,0.6919555220836268,0.7745
98,0.6903088225152927,0.7709
99,0.7074511418232141,0.7683
100,0.709229185844001,0.7689
