round,loss,accuracy
0,1.118789997630226,0.7029
1,0.9475202789893166,0.7295
2,0.9776704424676804,0.7285
3,0.9783348273545408,0.7333
4,0.9916375705990167,0.731
5,1.0165122916904121,0.7347
6,1.0216558608003319,0.7336
7,1.0136122433141397,0.7289
8,1.0535509252605346,0.7364
9,1.0429161475679745,0.7361
10,1.0852870173728504,0.7316
11,1.0455539729267644,0.7331
12,1.0618192942949911,0.7322
13,1.105151121227886,0.7314
14,1.1000554145525059,0.731
15,1.0820573644516187,0.7304
16,1.1132146996050216,0.733
17,1.1446124768485657,0.7337
18,1.1498681566776179,0.7309
19,1.177884067399814,0.7308
20,1.1265031430667962,0.7268
21,1.153376950956762,0.7288
22,1.204907410537092,0.7281
23,1.1602096422411763,0.7331
24,1.1921136883881907,0.7354
25,1.1823395114546766,0.7266
26,1.2474727422094192,0.7277
27,1.1892857642981192,0.7307
28,1.2596511007688296,0.731
29,1.2314720605128109,0.7308
30,1.223647348416118,0.728
31,1.246500069007706,0.7301
32,1.2473441541385346,0.7288
33,1.2690391029222323,0.7313
34,1.2488583103060342,0.7325
35,1.2593187716441414,0.7325
36,1.264916509961168,0.7317
37,1.270977641732548,0.7302
38,1.2548675756104075,0.734
39,1.3081085213457053,0.7302
40,1.3303090298709017,0.7316
41,1.3193016614967261,0.73
42,1.291095445140863,0.7317
43,1.3562677316962721,0.73
44,1.339919016288873,0.732
45,1.3234198892268891,0.729
46,1.3448854405849506,0.7335
47,1.2846656992983894,0.7314
48,1.3417529601829883,0.7278
49,1.3564897586172,0.7306
50,1.3513440697337873,0.7281
51,1.3764858808570777,0.7298
52,1.3887083986506294,0.7269
53,1.3609934248292028,0.725
54,1.4357514275719945,0.7306
55,1.400652804123327,0.7288
56,1.4090682230056666,0.7295
57,1.3878318896880164,0.7294
58,1.3461831091120602,0.7307
59,1.4173807257090132,0.7294
60,1.4398899542066617,0.7285
61,1.4511298203049376,0.7352
62,1.4871797536889586,0.733
63,1.4645991238732687,0.7243
64,1.4664513691545675,0.7319
65,1.4670365265192695,0.7303
66,1.5188397233383344,0.7327
67,1.529227106049419,0.7277
68,1.491974740934829,0.7283
69,1.444768456795726,0.7314
70,1.5143897582928594,0.7268
71,1.5309277908108867,0.7309
72,1.4522300407338067,0.7312
73,1.5260628967429883,0.7334
74,1.524132150811509,0.7341
75,1.5606292734702174,0.733
76,1.4884326600799926,0.7287
77,1.5153311520529251,0.7293
78,1.5700758194771056,0.7345
79,1.5126155040705929,0.7257
80,1.5727061159408893,0.7291
81,1.46205316260219,0.7331
82,1.5960454460911857,0.7297
83,1.5002102634777277,0.734
84,1.5942625637633352,0.7335
85,1.6285331452997347,0.733
86,1.566457454674541,0.7313
87,1.5902808997958613,0.7321
88,1.586081225841571,0.7283
89,1.6680684931362018,0.7303
90,1.604411854911536,0.7328
91,1.5314805357220074,0.7324
92,1.5829752895969171,0.7304
93,1.5873539536334456,0.7261
94,1.6248609893047772,0.7317
95,1.560355078393278,0.7313
96,1.6051072364036267,0.7314
97,1.5881035339337188,0.7313
98,1.613792536262506,0.7368
99,1.550279687768735,0.7352
100,1.6855342427191262,0.7368
